filename,class,xmin,ymin,xmax,ymax
dayClip2--00596.jpg,go,828,197,858,252
dayClip2--00596.jpg,go,1184,294,1208,339
dayClip2--00597.jpg,go,826,189,862,254
dayClip2--00597.jpg,go,1184,291,1214,341
dayClip2--00598.jpg,go,829,196,859,251
dayClip2--00598.jpg,go,1188,294,1215,339
dayClip2--00599.jpg,go,826,185,862,250
dayClip2--00599.jpg,go,1186,289,1222,339
dayClip2--00600.jpg,go,830,193,860,248
dayClip2--00600.jpg,go,1192,297,1222,337
dayClip2--00601.jpg,go,826,183,865,248
dayClip2--00601.jpg,go,1194,288,1224,338
dayClip2--00602.jpg,go,830,190,860,245
dayClip2--00602.jpg,go,1198,290,1225,335
dayClip2--00603.jpg,go,832,175,856,245
dayClip2--00603.jpg,go,1198,285,1231,335
dayClip2--00604.jpg,go,832,186,862,241
dayClip2--00604.jpg,go,1202,292,1232,332
dayClip2--00605.jpg,go,830,175,866,240
dayClip2--00605.jpg,go,1202,278,1238,333
dayClip2--00606.jpg,go,832,178,862,238
dayClip2--00606.jpg,go,1209,284,1236,329
dayClip2--00607.jpg,go,830,166,866,236
dayClip2--00607.jpg,go,1208,273,1241,328
dayClip2--00608.jpg,go,834,176,864,231
dayClip2--00608.jpg,go,1214,280,1241,325
dayClip2--00609.jpg,go,833,162,866,232
dayClip2--00609.jpg,go,1212,270,1248,325
dayClip2--00610.jpg,go,833,177,866,227
dayClip2--00610.jpg,go,1219,277,1246,322
dayClip5--00051.jpg,go,660,378,672,403
dayClip5--00051.jpg,go,749,413,764,433
dayClip5--00051.jpg,warning,765,319,789,364
dayClip5--00051.jpg,warning,854,338,875,383
dayClip5--00051.jpg,warning,956,395,974,422
dayClip5--00051.jpg,warningLeft,271,425,283,447
dayClip5--00051.jpg,warningLeft,682,322,712,358
dayClip5--00052.jpg,go,659,384,671,404
dayClip5--00052.jpg,go,751,411,763,436
dayClip5--00052.jpg,warning,764,314,791,368
dayClip5--00052.jpg,warning,853,338,877,383
dayClip5--00052.jpg,warning,958,390,976,426
dayClip5--00052.jpg,warningLeft,262,412,289,457
dayClip5--00052.jpg,warningLeft,681,316,714,361
dayClip5--00053.jpg,go,659,384,671,404
dayClip5--00053.jpg,go,751,411,763,436
dayClip5--00053.jpg,warning,765,315,792,364
dayClip5--00053.jpg,warning,857,334,878,383
dayClip5--00053.jpg,warning,958,394,976,421
dayClip5--00053.jpg,warningLeft,264,421,282,452
dayClip5--00053.jpg,warningLeft,686,326,707,353
dayClip5--00054.jpg,go,659,384,671,404
dayClip5--00054.jpg,go,751,411,763,436
dayClip5--00054.jpg,warning,766,312,793,366
dayClip5--00054.jpg,warning,855,337,879,382
dayClip5--00054.jpg,warning,959,389,980,425
dayClip5--00054.jpg,warningLeft,251,413,290,453
dayClip5--00054.jpg,warningLeft,680,317,713,357
dayClip5--00055.jpg,go,658,386,670,406
dayClip5--00055.jpg,go,750,408,762,438
dayClip5--00055.jpg,warning,766,322,793,358
dayClip5--00055.jpg,warning,856,338,880,383
dayClip5--00055.jpg,warning,963,396,978,423
dayClip5--00055.jpg,warningLeft,682,309,712,363
dayClip5--00056.jpg,go,657,382,672,407
dayClip5--00056.jpg,go,750,409,765,439
dayClip5--00056.jpg,warning,766,316,793,365
dayClip5--00056.jpg,warning,856,337,883,382
dayClip5--00056.jpg,warning,961,391,982,427
dayClip5--00056.jpg,warningLeft,682,318,712,358
dayClip5--00057.jpg,go,657,382,672,407
dayClip5--00057.jpg,go,750,409,765,439
dayClip5--00057.jpg,warning,768,318,795,363
dayClip5--00057.jpg,warning,860,342,881,378
dayClip5--00057.jpg,warning,962,388,986,428
dayClip5--00057.jpg,warningLeft,688,326,706,353
dayClip5--00058.jpg,go,657,382,672,407
dayClip5--00058.jpg,go,750,409,765,439
dayClip5--00058.jpg,warning,768,314,795,363
dayClip5--00058.jpg,warning,858,334,885,383
dayClip5--00058.jpg,warning,965,390,986,426
dayClip5--00058.jpg,warningLeft,687,324,708,351
dayClip5--00059.jpg,go,657,381,672,406
dayClip5--00059.jpg,go,750,403,768,438
dayClip5--00059.jpg,warning,768,313,795,362
dayClip5--00059.jpg,warning,863,332,884,381
dayClip5--00059.jpg,warning,967,386,988,426
dayClip5--00059.jpg,warningLeft,683,321,710,352
dayClip5--00060.jpg,go,657,381,672,406
dayClip5--00060.jpg,go,750,403,768,438
dayClip5--00060.jpg,warning,767,314,797,359
dayClip5--00060.jpg,warning,863,342,884,369
dayClip5--00060.jpg,warning,967,388,988,424
dayClip5--00060.jpg,warningLeft,680,312,716,357
dayClip11--00105.jpg,stop,136,246,169,295
dayClip11--00105.jpg,stop,256,260,280,296
dayClip11--00105.jpg,stop,421,354,442,372
dayClip11--00106.jpg,stop,140,246,170,295
dayClip11--00106.jpg,stop,258,260,282,296
dayClip11--00106.jpg,stop,423,352,444,374
dayClip11--00107.jpg,stop,142,246,172,295
dayClip11--00107.jpg,stop,260,258,284,298
dayClip11--00107.jpg,stop,428,352,446,374
dayClip11--00108.jpg,stop,146,250,173,286
dayClip11--00108.jpg,stop,262,260,286,296
dayClip11--00108.jpg,stop,429,354,450,372
dayClip11--00109.jpg,stop,146,247,176,292
dayClip11--00109.jpg,stop,264,258,288,294
dayClip11--00109.jpg,stop,431,352,452,374
dayClip11--00110.jpg,stop,152,247,176,292
dayClip11--00110.jpg,stop,266,258,290,294
dayClip11--00110.jpg,stop,432,351,456,378
dayClip11--00111.jpg,stop,150,247,180,292
dayClip11--00111.jpg,stop,268,258,292,294
dayClip11--00111.jpg,stop,438,351,456,378
dayClip11--00112.jpg,stop,150,248,183,284
dayClip11--00112.jpg,stop,270,258,294,294
dayClip11--00112.jpg,stop,436,351,460,378
dayClip11--00113.jpg,stop,154,247,184,292
dayClip11--00113.jpg,stop,272,258,296,294
dayClip11--00113.jpg,stop,442,351,460,378
dayClip11--00114.jpg,stop,156,244,186,298
dayClip11--00114.jpg,stop,274,258,298,294
dayClip11--00114.jpg,stop,440,351,464,378
dayClip11--00115.jpg,stop,156,245,189,290
dayClip11--00115.jpg,stop,276,255,300,295
dayClip11--00115.jpg,stop,442,352,466,370
